V1	sign	V2
YAL005C	1	YLR293C
YAL005C	1	YNR050C
YAL005C	1	YJL061W
YGR033C	1	YNL131W
YGR033C	1	YIL022W
YGR033C	1	YKL195W
YGR033C	1	YPL063W
YGR033C	1	YJL104W
YGR033C	1	YOL100W
YGR033C	1	YBL045C
YGR033C	1	YGL187C
YGR033C	1	YJL143W
YGR033C	1	YNR017W
YGR033C	1	YDL217C
YGR033C	1	YLR008C
YGR033C	1	YMR203W
YOL051W	1	YHL025W
YOL051W	1	YDR073W
YOL051W	1	YPR086W
YOL051W	1	YDR081C
YOL051W	1	YNL216W
YOL051W	1	YDR443C
YOL051W	1	YBR193C
YOL051W	1	YER148W
YOL051W	1	YDR308C
YOL051W	1	YPL254W
YOL051W	1	YAL013W
YOL051W	1	YAL021C
YOL051W	1	YMR227C
YOL051W	1	YJL081C
YOL051W	1	YDR311W
YOL051W	1	YPL129W
YOL051W	1	YER019W
YOL051W	1	YER022W
YOL051W	1	YMR236W
YOL051W	1	YNL236W
YOL051W	1	YKL144C
YOL051W	1	YLR044C
YOL051W	1	YKL018W
YOL051W	1	YAL040C
YOL051W	1	YDR469W
YOL051W	1	YBR081C
YOL051W	1	YMR112C
YOL051W	1	YER171W
YOL051W	1	YLR055C
YOL051W	1	YDL135C
YOL051W	1	YER177W
YOL051W	1	YLR418C
YOL051W	1	YDL140C
YOL051W	1	YOR290C
YOL051W	1	YKL028W
YOL051W	1	YDR335W
YOL051W	1	YDL005C
YOL051W	1	YPL016W
YOL051W	1	YOR023C
YOL051W	1	YLR071C
YOL051W	1	YMR263W
YOL051W	1	YIL143C
YOL051W	1	YMR273C
YOL051W	1	YPL031C
YOL051W	1	YKR101W
YOL051W	1	YHR013C
YOL051W	1	YOR174W
YOL051W	1	YLR442C
YOL051W	1	YER068W
YOL051W	1	YHR154W
YOL051W	1	YIL159W
YOL051W	1	YPL042C
YOL051W	1	YKL058W
YOL051W	1	YMR005W
YOL051W	1	YIL021W
YOL051W	1	YBL003C
YOL051W	1	YNL151C
YOL051W	1	YGL127C
YOL051W	1	YML098W
YOL051W	1	YNL290W
YOL051W	1	YCR042C
YOL051W	1	YAR003W
YOL051W	1	YLR320W
YOL051W	1	YER083C
YOL051W	1	YPL055C
YOL051W	1	YHR041C
YOL051W	1	YGR200C
YOL051W	1	YNL025C
YOL051W	1	YGL151W
YOL051W	1	YMR033W
YOL051W	1	YMR037C
YOL051W	1	YHR058C
YOL051W	1	YLR347C
YOL051W	1	YNL189W
YOL051W	1	YGL025C
YOL051W	1	YLR350W
YOL051W	1	YDR138W
YOL051W	1	YCR077C
YOL051W	1	YDL074C
YOL051W	1	YPL086C
YOL051W	1	YCR081W
YOL051W	1	YGL035C
YOL051W	1	YEL009C
YOL051W	1	YDR289C
YOL051W	1	YDR146C
YOL051W	1	YIL076W
YOL051W	1	YDR145W
YOL051W	1	YPR161C
YOL051W	1	YBR253W
YOL051W	1	YGR104C
YOL051W	1	YPR168W
YOL051W	1	YPR025C
YOL051W	1	YIR008C
YOL051W	1	YJL148W
YOL051W	1	YNL076W
YOL051W	1	YOL135C
YOL051W	1	YHR143W______a
YOL051W	1	YPR034W
YOL051W	1	YOL001W
YOL051W	1	YKL213C
YOL051W	1	YLR384C
YOL051W	1	YOL148C
YOL051W	1	YBR279W
YOL051W	1	YNR010W
YOL051W	1	YBR275C
YOL051W	1	YGL066W
YOL051W	1	YGL070C
YOL051W	1	YMR312W
YOL051W	1	YPR187W
YOL051W	1	YKR062W
YOL051W	1	YNL098C
YOL051W	1	YOL017W
YOL051W	1	YBR289W
