source	sign	target
YAL035W	1	YDR382W
YAL035W	1	YDR418W
YAL035W	1	YDR450W
YAL035W	1	YDR471W
YAL035W	1	YDR500C
YAL035W	1	YER056C______A
YAL035W	1	YER074W
YAL035W	1	YER102W
YAL035W	1	YER126C
YAL035W	1	YER131W
YAL035W	1	YFL034C______A
YAL035W	1	YFR031C______A
YAL035W	1	YFR032C______A
YAL035W	1	YGL030W
YAL035W	1	YGL076C
YAL035W	1	YGL103W
YAL035W	1	YGL103W
YAL035W	1	YGL123W
YAL035W	1	YGL123W
YAL035W	1	YGL135W
YAL035W	1	YGL147C
YAL035W	1	YGL189C
YAL035W	1	YGR027C
YAL035W	1	YGR034W
YAL035W	1	YGR085C
YAL035W	1	YGR118W
YAL035W	1	YGR148C
YAL035W	1	YGR214W
YAL035W	1	YHL001W
YAL035W	1	YHL015W
YAL035W	1	YHL015W
YAL035W	1	YHL033C
YAL035W	1	YHR010W
YAL035W	1	YHR021C
YAL035W	1	YHR141C
YAL035W	1	YIL018W
YAL035W	1	YIL052C
YAL035W	1	YIL069C
YAL035W	1	YIL133C
YAL035W	1	YJL136C
YAL035W	1	YJL177W
YAL035W	1	YJL177W
YAL035W	1	YJL189W
YAL035W	1	YJL190C
YAL035W	1	YJL191W
YAL035W	1	YJR094W______A
YAL035W	1	YJR123W
YAL035W	1	YJR123W
YAL035W	1	YJR145C
YAL035W	1	YKL006W
YAL035W	1	YKL009W
YAL035W	1	YKL156W
YAL035W	1	YKL180W
YAL035W	1	YKL180W
YAL035W	1	YKR057W
YAL035W	1	YKR094C
YAL035W	1	YLL045C
YAL035W	1	YLR009W
YAL035W	1	YLR029C
YAL035W	1	YLR048W
YAL035W	1	YLR061W
YAL035W	1	YLR075W
YAL035W	1	YLR167W
YAL035W	1	YLR185W
YAL035W	1	YLR264W
YAL035W	1	YLR325C
YAL035W	1	YLR333C
YAL035W	1	YLR340W
YAL035W	1	YLR344W
YAL035W	1	YLR367W
YAL035W	1	YLR388W
YAL035W	1	YLR406C
YAL035W	1	YLR441C
YAL035W	1	YLR448W
YAL035W	1	YML026C
YAL035W	1	YML063W
YAL035W	1	YMR121C
YAL035W	1	YMR142C
YAL035W	1	YMR143W
YAL035W	1	YMR194W
YAL035W	1	YMR230W
YAL035W	1	YMR242C
YAL035W	1	YNL002C
YAL035W	1	YNL067W
YAL035W	1	YNL069C
YAL035W	1	YNL096C
YAL035W	1	YNL178W
YAL035W	1	YNL302C
YAL035W	1	YOL039W
YAL035W	1	YOL040C
YAL035W	1	YOL120C
YAL035W	1	YOL121C
YAL035W	1	YOL127W
YAL035W	1	YOR063W
YAL035W	1	YOR096W
YAL035W	1	YOR167C
YAL035W	1	YOR182C
YAL035W	1	YOR234C
YAL035W	1	YOR293W
YAL035W	1	YOR369C
YAL035W	1	YPL079W
YAL035W	1	YPL081W
YAL035W	1	YPL090C
YAL035W	1	YPL131W
YAL035W	1	YPL143W
YAL035W	1	YPL198W
YAL035W	1	YPL249C______A
YAL035W	1	YPR102C
YAL035W	1	YPR132W
YAL038W	1	YKL067W
YAL041W	1	YAL048C
YAL041W	1	YHL007C
YAL041W	1	YIL118W
YAL041W	1	YLR229C
YAL041W	1	YLR229C
YAL041W	1	YLR229C
YAL041W	1	YLR229C
YAL041W	1	YNL090W
YAL041W	1	YPR165W
YAL041W	1	YPR165W
YAL041W	1	YPR165W
YAL043C	1	YDR301W
YAL043C	1	YDR301W
YAL043C	1	YGR156W
YAL043C	1	YGR156W
YAL043C	1	YJR093C
YAL043C	1	YJR093C
YAL043C	1	YKR002W
YAL043C	1	YKR002W
YAL043C	1	YLR115W
YAL043C	1	YLR115W
YAL043C	1	YLR277C
YAL043C	1	YLR277C
YAL043C	1	YNL317W
YAL043C	1	YNL317W
YAL043C	1	YOR179C
YAL043C	1	YOR179C
YAL043C	1	YPR107C
YAL043C	1	YPR107C
YAL044C	1	YBR221C
YAL044C	1	YDR148C
YAL044C	1	YER178W
YAL044C	1	YFL018C
YAL044C	1	YIL125W
YAL044C	1	YKL192C
YAL044C	1	YNL071W
YAL048C	1	YDL135C
YAL048C	1	YER136W
YAL048C	1	YIL118W
YAL048C	1	YLR229C
YAL048C	1	YNL090W
YAL048C	1	YPR165W
YAL054C	1	YAL062W
YAL054C	1	YDL066W
YAL054C	1	YHR008C
YAL054C	1	YLR153C
YAL054C	1	YLR174W
YAL054C	1	YOR375C
YAL058W	1	YCL043C
YAL058W	1	YDR518W
YAL062W	1	YAL054C
YAL062W	1	YDL066W
YAL062W	1	YHR008C
YAL062W	1	YLR153C
YAL062W	1	YLR174W
YAL062W	1	YOR375C
YAR002C______A	1	YBL040C
YAR002C______A	1	YBL040C
YAR002C______A	1	YDL137W
YAR002C______A	1	YDL137W
YAR002C______A	1	YDL145C
YAR002C______A	1	YDL145C
YAR002C______A	1	YDL226C
YAR002C______A	1	YDL226C
YAR002C______A	1	YDR238C
YAR002C______A	1	YDR238C
YAR002C______A	1	YEL022W
YAR002C______A	1	YEL022W
YAR002C______A	1	YER122C
YAR002C______A	1	YER122C
YAR002C______A	1	YFL038C
YAR002C______A	1	YFL038C
YAR002C______A	1	YFR051C
YAR002C______A	1	YFR051C
YAR002C______A	1	YGL002W
YAR002C______A	1	YGL002W
YAR002C______A	1	YGL137W
YAR002C______A	1	YGL137W
YAR002C______A	1	YGL200C
YAR002C______A	1	YGL200C
YAR002C______A	1	YGR284C
YAR002C______A	1	YGR284C
YAR002C______A	1	YHR110W
YAR002C______A	1	YHR110W
YAR002C______A	1	YJR031C
YAR002C______A	1	YJR031C
YAR002C______A	1	YLR268W
YAR002C______A	1	YLR268W
YAR002C______A	1	YML012W
YAR002C______A	1	YML012W
YAR002C______A	1	YNL204C
YAR002C______A	1	YNL204C
YAR002C______A	1	YNL287W
YAR002C______A	1	YNL287W
YAR002C______A	1	YPL010W
YAR002C______A	1	YPL010W
YAR003W	1	YBR208C
YAR003W	1	YBR208C
YAR003W	1	YCR072C
YAR003W	1	YCR072C
YAR003W	1	YDL132W
YAR003W	1	YDL132W
YAR003W	1	YDR030C
YAR003W	1	YDR030C
YAR003W	1	YDR139C
YAR003W	1	YDR139C
YAR003W	1	YEL056W
YAR003W	1	YEL056W
YAR003W	1	YLL011W
YAR003W	1	YLL011W
YAR003W	1	YLR128W
YAR003W	1	YLR128W
YAR003W	1	YLR306W
YAR003W	1	YLR306W
YAR003W	1	YML049C
YAR003W	1	YML049C
YAR003W	1	YOL133W
YAR003W	1	YOL133W
YAR003W	1	YPL247C
YAR003W	1	YPL247C
YAR007C	1	YBL019W
YAR007C	1	YBL019W
YAR007C	1	YBL021C
YAR007C	1	YBL021C
YAR007C	1	YBL021C
YAR007C	1	YBL023C
YAR007C	1	YBL035C
YAR007C	1	YBL035C
YAR007C	1	YBR087W
YAR007C	1	YBR087W
YAR007C	1	YBR087W
YAR007C	1	YBR088C
YAR007C	1	YBR088C
YAR007C	1	YBR154C
YAR007C	1	YBR154C
YAR007C	1	YBR160W
YAR007C	1	YBR160W
YAR007C	1	YBR170C
YAR007C	1	YBR170C
YAR007C	1	YCR066W
YAR007C	1	YCR066W
YAR007C	1	YDL064W
YAR007C	1	YDL070W
YAR007C	1	YDL070W
YAR007C	1	YDL102W
YAR007C	1	YDL102W
YAR007C	1	YDL102W
YAR007C	1	YDL108W
YAR007C	1	YDL108W
YAR007C	1	YDL126C
YAR007C	1	YDL126C
YAR007C	1	YDL132W
YAR007C	1	YDL132W
YAR007C	1	YDL140C
YAR007C	1	YDL140C
YAR007C	1	YDL164C
YAR007C	1	YDL164C
YAR007C	1	YDR030C
YAR007C	1	YDR030C
YAR007C	1	YDR155C
YAR007C	1	YDR155C
YAR007C	1	YDR311W
YAR007C	1	YDR311W
YAR007C	1	YDR404C
YAR007C	1	YDR404C
YAR007C	1	YDR416W
YAR007C	1	YDR416W
YAR007C	1	YDR460W
YAR007C	1	YDR460W
YAR007C	1	YER151C
YAR007C	1	YER151C
YAR007C	1	YER171W
YAR007C	1	YER171W
YAR007C	1	YGL043W
YAR007C	1	YGL043W
YAR007C	1	YGL058W
YAR007C	1	YGL058W
YAR007C	1	YGL070C
YAR007C	1	YGL070C
YAR007C	1	YGR048W
YAR007C	1	YGR048W
YAR007C	1	YGR258C
YAR007C	1	YGR258C
YAR007C	1	YHR143W______A
YAR007C	1	YHR143W______A
YAR007C	1	YHR164C
YAR007C	1	YHR164C
YAR007C	1	YIL021W
YAR007C	1	YIL021W
YAR007C	1	YIL143C
YAR007C	1	YIL143C
YAR007C	1	YIR008C
YAR007C	1	YIR008C
YAR007C	1	YJL140W
YAR007C	1	YJL140W
YAR007C	1	YJL194W
YAR007C	1	YJL197W
YAR007C	1	YJL197W
YAR007C	1	YJR006W
YAR007C	1	YJR006W
YAR007C	1	YJR035W
YAR007C	1	YJR035W
YAR007C	1	YJR050W
YAR007C	1	YJR050W
YAR007C	1	YJR068W
YAR007C	1	YJR068W
YAR007C	1	YJR068W
YAR007C	1	YKL045W
YAR007C	1	YKL045W
YAR007C	1	YKL113C
YAR007C	1	YKL113C
YAR007C	1	YKR094C
YAR007C	1	YKR094C
YAR007C	1	YLL039C
YAR007C	1	YLL039C
YAR007C	1	YLR005W
YAR007C	1	YLR005W
YAR007C	1	YLR167W
YAR007C	1	YLR167W
YAR007C	1	YLR399C
YAR007C	1	YLR399C
YAR007C	1	YLR430W
YAR007C	1	YLR430W
YAR007C	1	YML049C
YAR007C	1	YML049C
YAR007C	1	YML078W
YAR007C	1	YML078W
YAR007C	1	YML095C
YAR007C	1	YML095C
YAR007C	1	YMR201C
YAR007C	1	YMR201C
YAR007C	1	YMR304W
YAR007C	1	YMR304W
YAR007C	1	YNL102W
YAR007C	1	YNL102W
YAR007C	1	YNL102W
YAR007C	1	YNL262W
YAR007C	1	YNL262W
YAR007C	1	YNL262W
YAR007C	1	YNL290W
YAR007C	1	YNL290W
YAR007C	1	YNL290W
YAR007C	1	YNL312W
YAR007C	1	YNL312W
YAR007C	1	YNL312W
YAR007C	1	YOL005C
YAR007C	1	YOL005C
YAR007C	1	YOL094C
YAR007C	1	YOL094C
YAR007C	1	YOL094C
YAR007C	1	YOL133W
YAR007C	1	YOL133W
YAR007C	1	YOR207C
YAR007C	1	YOR207C
YAR007C	1	YOR210W
YAR007C	1	YOR210W
YAR007C	1	YOR217W
YAR007C	1	YOR217W
YAR007C	1	YOR224C
YAR007C	1	YOR224C
YAR007C	1	YOR304W
YAR007C	1	YOR304W
YAR007C	1	YOR346W
YAR007C	1	YOR346W
YAR007C	1	YOR358W
YAR007C	1	YOR358W
YAR007C	1	YOR358W
YAR007C	1	YPL022W
YAR007C	1	YPL022W
YAR007C	1	YPL122C
YAR007C	1	YPL122C
YAR007C	1	YPL167C
YAR007C	1	YPL167C
YAR007C	1	YPL167C
YAR007C	1	YPR025C
YAR007C	1	YPR025C
YAR007C	1	YPR056W
YAR007C	1	YPR056W
YAR007C	1	YPR175W
YAR007C	1	YPR175W
YAR007C	1	YPR175W
YAR007C	1	YPR178W
YAR007C	1	YPR178W
YAR007C	1	YPR187W
YAR007C	1	YPR187W
YAR019C	1	YGR209C
YAR019C	1	YHR102W
YAR019C	1	YJL128C
YAR019C	1	YLR043C
YBL002W	1	YBL003C
YBL002W	1	YBL003C
YBL002W	1	YBL088C
YBL002W	1	YBL088C
YBL002W	1	YBL105C
YBL002W	1	YBL105C
YBL002W	1	YBR009C
YBL002W	1	YBR009C
YBL002W	1	YBR010W
YBL002W	1	YBR010W
YBL002W	1	YBR034C
YBL002W	1	YBR034C
YBL002W	1	YBR112C
YBL002W	1	YBR112C
YBL002W	1	YDL042C
YBL002W	1	YDL064W
