from,to,action
PBP1,SMT3,1
PBP1,SHO1,1
PBP1,HSP82,1
SEC63,SHO1,1
SEC63,SWE1,1
RIC1,TDH3,1
RIC1,PTC1,1
RIC1,NBP2,1
RIC1,MCK1,1
RIC1,HSP82,1
LTE1,TDH3,1
LTE1,GPM1,1
LTE1,PTC1,1
LTE1,PGK1,1
LTE1,TPI1,1
LTE1,PFK2,1
LTE1,HSP82,1
TDH3,GPM1,1
TDH3,MYO5,1
TDH3,PGK1,1
TDH3,SMT3,1
TDH3,HSP82,1
CDC19,SMT3,1
CDC19,HXK1,1
CDC19,MCK1,1
GPM1,MYO5,1
GPM1,SMT3,1
MYO5,RVS167,1
MYO5,SHO1,1
MYO5,HSP82,1
PKC1,PTC1,1
PKC1,MPT5,1
PKC1,SHO1,1
PTC1,SLN1,1
PTC1,NBP2,1
PTC1,MCK1,1
COP1,PGK1,1
COP1,SLN1,1
COP1,PTC3,1
COP1,SWE1,1
PGK1,SMT3,1
PGK1,HSP82,1
RPL40A,RVS167,1
RPL40A,HXK1,1
RPL40A,SWE1,1
RPL40A,HSP82,1
SLN1,RVS167,1
SLN1,PTC3,1
SLN1,SHO1,1
RVS167,PFK2,1
MPT5,HXK1,1
PFK1,PTC3,1
PFK1,SWE1,1
PFK1,PFK2,1
PTC3,HSP82,1
SMT3,TPI1,1
SMT3,HSP82,1
NBP2,PYK2,1
NBP2,HSP82,1
MCK1,PFK2,1
MCK1,HSP82,1
PYK2,HSP82,1
SHO1,HSP82,1
SWE1,PFK2,1
